hit_ID,x,y,z,layer_ID,particle_ID,particle_energy
6089,0.1296810697896999,-0.0017161901918611795,4.1560125,Plane 2,1995,5756.046932277177
6090,0.12304747725155422,0.0014674584842021311,4.1560125,Plane 2,1996,6034.887550419131
6091,0.12295340715324869,-0.0006316741616225089,4.1560125,Plane 2,1997,6014.7716282540505
6093,0.11611368165999539,-0.0009914454886060225,4.1560125,Plane 2,1999,6362.821285954045
6098,0.1099772505728699,0.0011580245362027921,4.1560125,Plane 2,2004,6707.659974020179
6105,0.12764850983531692,0.0003288421292006487,4.1560125,Plane 2,2011,5848.810427000066
6113,0.11919532347940671,0.0008993628943367184,4.1560125,Plane 2,2019,6248.619241743892
6119,0.10403163425773013,-0.0009234056448140664,4.1560125,Plane 2,2025,7185.066292682086
6120,0.10294495843828562,-0.00019725407995729085,4.1560125,Plane 2,2026,7275.775631150932
6147,0.12737703058219446,0.0005787648576535111,4.2560125,Plane 3,6,6153.5639174018015
6157,0.10528413408777997,-0.00021530701929079789,4.2560125,Plane 3,16,7279.342537019524
6161,0.1348025442091865,-0.0004297468771625459,4.2560125,Plane 3,20,5803.054386231343
6167,0.09946681742937591,-0.0005127254454462055,4.2560125,Plane 3,26,7796.883907566585
6179,0.10940511707737205,-0.0012993087809163712,4.2560125,Plane 3,38,7059.759526412329
6189,0.13424108682384897,0.00046418274153070115,4.2560125,Plane 3,48,5751.044308666664
6191,0.11938739775030278,-0.0004570192005331889,4.2560125,Plane 3,50,6563.517353332425
6200,0.10482031798124859,4.189131537886424e-05,4.2560125,Plane 3,59,7477.23352652246
6205,0.13450145492500223,-0.000580317404876891,4.2560125,Plane 3,64,5815.323084681996
6215,0.11847841341866397,0.0007975513059991604,4.2560125,Plane 3,74,6599.370337353361
6221,0.11941048699226622,-0.0010966102573071667,4.2560125,Plane 3,80,6558.039542910881
6234,0.1148187435659034,-0.001438016638779249,4.2560125,Plane 3,93,6812.022363603616
6236,0.12610482830255904,-0.0005965342585869958,4.2560125,Plane 3,95,6116.4821465151435
6246,0.097639730531545,0.0007992606703893592,4.2560125,Plane 3,105,8019.974383086297
6247,0.1337567138026037,0.0006187559916931495,4.2560125,Plane 3,106,5886.616059959148
6249,0.10109715371325352,0.0011643321749389421,4.2560125,Plane 3,108,7678.808224874373
6275,0.11610023957737559,-0.00014746873347917181,4.2560125,Plane 3,134,6760.890829690628
6278,0.12995837686025022,-0.001022073127872628,4.2560125,Plane 3,137,5983.126623179973
6279,0.1121831369173799,-0.0007968018168136127,4.2560125,Plane 3,138,6946.765547707339
6281,0.10087481869721697,0.0009762592817601679,4.2560125,Plane 3,140,7657.543674166335
6283,0.13193603572130833,-0.000370505480578337,4.2560125,Plane 3,142,5922.394403702844
6284,0.12514397937539684,-0.0006856187341959068,4.2560125,Plane 3,143,6236.24284966118
6288,0.1155964052058422,-0.0005432433087440483,4.2560125,Plane 3,147,6696.9972155462565
6293,0.12786115670989007,0.0006626644074543204,4.2560125,Plane 3,152,6119.244282671152
6295,0.1014473506320182,-0.0008663408063395478,4.2560125,Plane 3,154,7728.916542604415
6298,0.10852450473624516,-0.0001783035202708297,4.2560125,Plane 3,157,7087.7995236596435
6300,0.11944020784594814,-0.0007867179667972666,4.2560125,Plane 3,159,6466.165007149851
6304,0.12613416991855184,-0.0010506909447135055,4.2560125,Plane 3,163,6237.149808990479
6310,0.13609465555716543,0.00037281084795256814,4.2560125,Plane 3,169,5793.765026347417
6314,0.09886950813864205,0.001241214842640516,4.2560125,Plane 3,173,7840.785304722046
6318,0.11528505137051774,0.0016927476401211717,4.2560125,Plane 3,177,6697.124251948202
6323,0.11514389143903227,-0.0013977687615644534,4.2560125,Plane 3,182,6802.133207010294
6326,0.13194653609243728,-0.000666453305153347,4.2560125,Plane 3,185,5946.970405145584
6330,0.08749283554101887,0.0003122842047802595,4.2560125,Plane 3,189,9016.96505955151
6331,0.09881245822207849,5.934003000903777e-06,4.2560125,Plane 3,190,7838.290919959859
6338,0.10662230631028495,0.0007182777894652085,4.2560125,Plane 3,197,7268.053914298822
6339,0.13021279518419854,0.0017535088357308092,4.2560125,Plane 3,198,5970.596727860585
6341,0.10948835055540472,-0.0012863668328780948,4.2560125,Plane 3,200,7119.784955002958
6345,0.1269125771366916,0.0001201159718416892,4.2560125,Plane 3,204,6164.134840392915
6346,0.10826463917249207,0.0005003388231264646,4.2560125,Plane 3,205,7108.533908827577
6349,0.09118805990742664,0.00032505552592607714,4.2560125,Plane 3,208,8615.488522601405
6350,0.12026193818083464,0.0009121648894198371,4.2560125,Plane 3,209,6427.94476179821
6352,0.12707585514926095,-0.0002800670520960962,4.2560125,Plane 3,211,6060.0909520168625
6354,0.11482592837253766,-0.0006320435798993595,4.2560125,Plane 3,213,6819.153517311032
6355,0.11520578316435189,0.00028618811252575547,4.2560125,Plane 3,214,6806.555749086173
6358,0.09474927891545049,-0.0006578665142298227,4.2560125,Plane 3,217,8280.018235877267
